,mcp,cr_raise,cr_lower,reg_raise,reg_lower,rocof,operational_demand_mw,unscheduled_demand_mw,operational_withdrawal_mw,dpv_mw,rtp,stem_price,stem_qty_mwh,stem_bid_mwh,stem_offer_mwh,sent_out_mwh,sent_out_mw,dpv_mw_30min,scada_mwh,scada_mw,scheduled_energy_mw,residual_demand_mw,mcp_lag1,mcp_lag6,mcp_lag12,hour,minute,dow,month,year,is_weekend
rtp,0.7245997679942418,0.25411962735186944,-0.44160010019776647,0.2868859626886087,-0.4504944295001742,-0.00032456367443409217,0.47381722915059654,0.45967569577412143,0.05697693969747866,-0.2817096737777815,1.0,0.3948665934600253,0.13915772994835135,0.42811953468909,0.07777918082726037,0.49601176641360806,0.49601176641360806,-0.3156633067824386,0.45692628377199346,0.45692628377202205,0.45704546737317814,0.42380626416771255,0.678717968920821,0.5350335231533847,0.4312502546384192,0.13744128974176384,0.001043017997760895,-0.03869107142742497,-0.029245863830316604,0.0930366945552814,-0.04798891409177785
stem_price,0.34879733576813754,-5.5850158077405294e-05,-0.2964022278414352,0.02780728259403623,-0.30737375443207937,-0.0005491718742105178,0.531592726032765,0.5164690535751055,0.06709589407970998,-0.3458872915884224,0.3948665934600253,1.0,0.3545495423470507,0.5913350068415728,0.12395060684666179,0.5633219381551855,0.5633219381551855,-0.4107801153973098,0.514099532755903,0.5140995327559168,0.5160905601222069,0.49459559653773755,0.34650562765170767,0.33288384871000604,0.3103161866460957,0.1927841484945884,-0.00047352934611540157,-0.06804953665018965,-0.053596780217023285,0.1972568646536701,-0.07836514608669679
stem_qty_mwh,0.12541267608336415,-0.07532037602724141,-0.18110356397013833,-0.04789726350634177,-0.20772602927972075,-0.0021270255454974253,0.26893854898014474,0.197019878683616,-0.24044828460858836,-0.07672395243516686,0.13915772994835135,0.3545495423470507,1.0,0.449512707578421,0.42829700344924193,0.27278074584422707,0.27278074584422707,-0.07168495839630637,0.19635410279773097,0.19635410279775328,0.19828699600402164,0.1872584257685868,0.12482681142400501,0.12111678347978935,0.11694188828484178,0.04953225338506628,0.0002945149340097346,-0.036263721421804784,-0.10692440349174814,0.4909184088240744,-0.04164661568570976
stem_bid_mwh,0.3869709953543763,-0.031219279173727365,-0.3548215364863968,0.02114860179980954,-0.38571833291778224,-0.002957676440467065,0.8506069610677175,0.8145603580857194,0.056779229041679403,-0.4254705461824312,0.42811953468909,0.5913350068415728,0.449512707578421,1.0,0.4898109386570552,0.8696811727319245,0.8696811727319245,-0.46299646007790124,0.8128152348541764,0.8128152348541906,0.8153999025765778,0.7093986465213252,0.3863860200890163,0.3792911437895047,0.3596683768090894,0.32736937910360286,3.0219425976717905e-05,-0.09538100473768264,-0.23352367113368458,0.4877533760444528,-0.11974129925416949
stem_offer_mwh,0.0706818408216154,-0.12402153077054542,-0.2269305635464547,-0.08976597225912732,-0.2571711901066568,-0.0010993801683679976,0.36858664561923105,0.29318809133038093,-0.2306245683339322,-0.16578008817645995,0.07777918082726037,0.12395060684666179,0.42829700344924193,0.4898109386570552,1.0,0.3630586675240557,0.3630586675240557,-0.15581780889339944,0.2928995663992136,0.29289956639922404,0.2937539737992143,0.2954891503689274,0.07079227947130814,0.07077593381639473,0.06975677319996319,0.00910522422003042,-5.81525835071875e-05,0.021695810549481748,-0.38519311758880914,0.5952211757228021,0.012357348370157535
sent_out_mwh,0.44809023445556906,0.03421341508183204,-0.367344309695024,0.0726060122503231,-0.38022931771991925,-0.0037807504210157243,0.9858954571505275,0.9659187523649698,0.15577521742387668,-0.46147704238280035,0.49601176641360806,0.5633219381551855,0.27278074584422707,0.8696811727319245,0.3630586675240557,1.0,1.0,-0.5068198120272239,0.9638978063476488,0.9638978063476403,0.9649368095773331,0.802110820959019,0.4467399976664868,0.4346735573318101,0.4077007611116988,0.34253349150947093,0.0006611626796689072,-0.10173771389042945,-0.209054966222056,0.1817774837563642,-0.13639473027763835
sent_out_mw,0.44809023445556906,0.03421341508183204,-0.367344309695024,0.0726060122503231,-0.38022931771991925,-0.0037807504210157243,0.9858954571505275,0.9659187523649698,0.15577521742387668,-0.46147704238280035,0.49601176641360806,0.5633219381551855,0.27278074584422707,0.8696811727319245,0.3630586675240557,1.0,1.0,-0.5068198120272239,0.9638978063476488,0.9638978063476403,0.9649368095773331,0.802110820959019,0.4467399976664868,0.4346735573318101,0.4077007611116988,0.34253349150947093,0.0006611626796689072,-0.10173771389042945,-0.209054966222056,0.1817774837563642,-0.13639473027763835
dpv_mw_30min,-0.2889474971774883,0.011157016402209667,0.2889734688871598,-0.007540209203092744,0.29601319955854943,0.003638539811547313,-0.5161004473826806,-0.5804837475330933,-0.42903298755844094,0.9408861877575498,-0.3156633067824386,-0.4107801153973098,-0.07168495839630637,-0.46299646007790124,-0.15581780889339944,-0.5068198120272239,-0.5068198120272239,1.0,-0.5805438973520537,-0.5805438973520659,-0.5767848834985868,-0.868545691699822,-0.2888190363639499,-0.2855025920558314,-0.27309227507522355,-0.014296639714688534,0.00028398912675807713,-0.004531220314671015,0.060135441770203024,0.007983087765464112,-0.0048352361603559305
scada_mwh,0.4295906052184144,0.04176052625487538,-0.3386345135126351,0.07672162591157022,-0.3436841051166527,-0.003416379975694472,0.9723204679934633,0.9997248243067541,0.35783255954270765,-0.565314536892046,0.45692628377199346,0.514099532755903,0.19635410279773097,0.8128152348541764,0.2928995663992136,0.9638978063476488,0.9638978063476488,-0.5805438973520537,1.0,0.9999999999999939,0.9988335548381693,0.861503975026364,0.43080590954395165,0.4293603303922238,0.4143254543630963,0.34590158395900045,-0.0018182154036321305,-0.09912031128038788,-0.18201997428408587,0.08547827709614539,-0.12988744640887698
scada_mw,0.4295906052184216,0.04176052625486976,-0.33863451351264284,0.07672162591156803,-0.3436841051166578,-0.003416379975694316,0.9723204679934956,0.9997248243068023,0.3578325595426917,-0.5653145368920531,0.45692628377202205,0.5140995327559168,0.19635410279775328,0.8128152348541906,0.29289956639922404,0.9638978063476403,0.9638978063476403,-0.5805438973520659,0.9999999999999939,1.0,0.9988335548381686,0.861503975026354,0.4308059095439529,0.42936033039222754,0.41432545436307805,0.3459015839590074,-0.001818215403632141,-0.09912031128038806,-0.18201997428408145,0.08547827709617427,-0.12988744640887961
scheduled_energy_mw,0.43326878804548125,0.043620137092834466,-0.3397000132776639,0.07869654622987356,-0.34530965652856044,-0.0033888948113248284,0.9722481468405842,0.9985585064505974,0.3531437766577575,-0.5603224799913007,0.45704546737317814,0.5160905601222069,0.19828699600402164,0.8153999025765778,0.2937539737992143,0.9649368095773331,0.9649368095773331,-0.5767848834985868,0.9988335548381693,0.9988335548381686,1.0,0.8582681056537425,0.4337887435022029,0.4298952188999085,0.41398293022743776,0.34577030027912886,-0.001279624075276434,-0.09890203461233131,-0.18147055100669504,0.08860266507811823,-0.12938824410855784
residual_demand_mw,0.4086407914512239,-0.0053606526145689596,-0.3816703637099413,0.030213216816633796,-0.3966830610715698,-0.004194534045717457,0.8306923034183995,0.8600415024324202,0.33106175781349645,-0.8949577482221489,0.42380626416771255,0.49459559653773755,0.1872584257685868,0.7093986465213252,0.2954891503689274,0.802110820959019,0.802110820959019,-0.868545691699822,0.861503975026364,0.861503975026354,0.8582681056537425,1.0,0.4112546290968396,0.41525106739144924,0.4054359683384346,0.14528859938749092,-0.0010652871875024502,-0.04919741447920684,-0.12179939318800054,0.11627035123810636,-0.06596559254489434
mcp_lag1,0.8536132420091337,0.37597355659622217,-0.43541303663447184,0.42393759284347454,-0.44605512046021073,-0.00026191974059013056,0.44888688744791055,0.43120193686633884,0.03567628928344815,-0.2820996602948976,0.678717968920821,0.34650562765170767,0.12482681142400501,0.3863860200890163,0.07079227947130814,0.4467399976664868,0.4467399976664868,-0.2888190363639499,0.43080590954395165,0.4308059095439529,0.4337887435022029,0.4112546290968396,1.0,0.630600717253691,0.4744289944353597,0.12502856630729112,-0.0006566664794079168,-0.03462452934654041,-0.026086160862473468,0.08311036578118637,-0.04267590217211569
mcp_lag6,0.5957127934857336,0.17382056745546046,-0.39117971455321127,0.20073825249046948,-0.40049636536489963,-0.00028821814421929403,0.44689130631427015,0.428660089892867,0.03285475920361891,-0.2899375597941852,0.5350335231533847,0.33288384871000604,0.12111678347978935,0.3792911437895047,0.07077593381639473,0.4346735573318101,0.4346735573318101,-0.2855025920558314,0.4293603303922238,0.42936033039222754,0.4298952188999085,0.41525106739144924,0.630600717253691,1.0,0.5957098009796588,0.124519123951623,0.0008029181713052563,-0.03473164217280657,-0.02606185686518339,0.08309317085326297,-0.04245478845571212
mcp_lag12,0.45903570805903504,0.08810234427571154,-0.35066506416177884,0.10703940375484265,-0.3600947725278338,0.0001512735343091584,0.42894874900568314,0.4125055325905158,0.036052198860207024,-0.2889993779449634,0.4312502546384192,0.3103161866460957,0.11694188828484178,0.3596683768090894,0.06975677319996319,0.4077007611116988,0.4077007611116988,-0.27309227507522355,0.4143254543630963,0.41432545436307805,0.41398293022743776,0.4054359683384346,0.4744289944353597,0.5957098009796588,1.0,0.12250242804060543,-0.0021993994974947957,-0.03479166138015619,-0.026044761674963814,0.08307469212871708,-0.042261352639094675
hour,0.12483868031420482,0.04093366336137868,-0.05648827790787769,0.04660601576373822,-0.05763007924580101,-0.00039435679064825943,0.3463278626808935,0.3456885852635677,0.08305050455135983,0.05079330136796993,0.13744128974176384,0.1927841484945884,0.04953225338506628,0.32736937910360286,0.00910522422003042,0.34253349150947093,0.34253349150947093,-0.014296639714688534,0.34590158395900045,0.3459015839590074,0.34577030027912886,0.14528859938749092,0.12502856630729112,0.124519123951623,0.12250242804060543,1.0,2.4172318205620705e-06,0.0009125569934692886,0.0002096105298522195,-0.0012108662039420363,0.0008147568658803933
minute,-0.0022173043629348087,-0.0021131722181788634,-0.0005315237048810838,-0.002635651887531827,-0.0009326284922710574,0.0028944510835442845,-0.002237589986114721,-0.00186595911498301,0.00103247374758512,-0.00013058525921645715,0.001043017997760895,-0.00047352934611540157,0.0002945149340097346,3.0219425976717905e-05,-5.81525835071875e-05,0.0006611626796689072,0.0006611626796689072,0.00028398912675807713,-0.0018182154036321305,-0.001818215403632141,-0.001279624075276434,-0.0010652871875024502,-0.0006566664794079168,0.0008029181713052563,-0.0021993994974947957,2.4172318205620705e-06,1.0,-3.582770985489622e-06,-1.303398819449681e-05,2.3936555883493325e-05,6.0488165727278e-07
dow,-0.03459134477393514,0.003331347102622098,0.04012335518887702,0.007690482749518708,0.033414179539632764,-0.0009091206524075402,-0.10330453288692873,-0.09874529416593074,-0.006121005992254518,-0.006005907102088769,-0.03869107142742497,-0.06804953665018965,-0.036263721421804784,-0.09538100473768264,0.021695810549481748,-0.10173771389042945,-0.10173771389042945,-0.004531220314671015,-0.09912031128038788,-0.09912031128038806,-0.09890203461233131,-0.04919741447920684,-0.03462452934654041,-0.03473164217280657,-0.03479166138015619,0.0009125569934692886,-3.582770985489622e-06,1.0,0.0003334669438956375,0.001480531533630043,0.790819289484071
month,-0.026088655341227875,0.034851222362606245,0.05936011615308524,0.01980569774832751,0.05030695652763881,0.001866131213181927,-0.20221913781888703,-0.18194995017439652,0.03645379334435493,0.028033331165445034,-0.029245863830316604,-0.053596780217023285,-0.10692440349174814,-0.23352367113368458,-0.38519311758880914,-0.209054966222056,-0.209054966222056,0.060135441770203024,-0.18201997428408587,-0.18201997428408145,-0.18147055100669504,-0.12179939318800054,-0.026086160862473468,-0.02606185686518339,-0.026044761674963814,0.0002096105298522195,-1.303398819449681e-05,0.0003334669438956375,1.0,-0.4064470539283322,0.004891380088609637
year,0.08311382690853417,-0.17327101791483943,-0.24048392286344833,-0.12147129453940497,-0.2994964391916659,-0.003410179265014432,0.19783293103251628,0.08544541266562923,-0.430843665831648,-0.022918801573605638,0.0930366945552814,0.1972568646536701,0.4909184088240744,0.4877533760444528,0.5952211757228021,0.1817774837563642,0.1817774837563642,0.007983087765464112,0.08547827709614539,0.08547827709617427,0.08860266507811823,0.11627035123810636,0.08311036578118637,0.08309317085326297,0.08307469212871708,-0.0012108662039420363,2.3936555883493325e-05,0.001480531533630043,-0.4064470539283322,1.0,0.00028745532328359666
is_weekend,-0.0427219275951564,0.0011816877200006716,0.04361466790061528,0.0036945496423884273,0.035501710889757475,-0.0011505346105272019,-0.1361158872642917,-0.12929535604072226,-0.004593172908597609,-0.006130511068856577,-0.04798891409177785,-0.07836514608669679,-0.04164661568570976,-0.11974129925416949,0.012357348370157535,-0.13639473027763835,-0.13639473027763835,-0.0048352361603559305,-0.12988744640887698,-0.12988744640887961,-0.12938824410855784,-0.06596559254489434,-0.04267590217211569,-0.04245478845571212,-0.042261352639094675,0.0008147568658803933,6.0488165727278e-07,0.790819289484071,0.004891380088609637,0.00028745532328359666,1.0
